# tax_string	16S rRNA count
k__Archaea; p__; c__; o__; f__; g__; s__	1.55415924023992
k__Archaea; p__Crenarchaeota; c__; o__; f__; g__; s__	1.14856566323371
k__Archaea; p__Crenarchaeota; c__AAG; o__; f__; g__; s__	1.30214788780093
k__Archaea; p__Crenarchaeota; c__Korarchaeota; o__; f__; g__; s__	1.05557215465488
k__Archaea; p__Crenarchaeota; c__Korarchaeota; o__Korarchaeotales; f__; g__; s__	1.03640934270492
k__Archaea; p__Crenarchaeota; c__Korarchaeota; o__Korarchaeotales; f__Korarchaeotaceae; g__; s__	1.03228666603043
k__Archaea; p__Crenarchaeota; c__Korarchaeota; o__Korarchaeotales; f__Korarchaeotaceae; g__Candidatus Korarchaeum; s__	1
k__Archaea; p__Crenarchaeota; c__Korarchaeota; o__pJP78; f__; g__; s__	1.04263916523527
k__Archaea; p__Crenarchaeota; c__MBGA; o__; f__; g__; s__	1.07529657120405
k__Archaea; p__Crenarchaeota; c__MBGA; o__NRP-J; f__; g__; s__	1.07529657120405
k__Archaea; p__Crenarchaeota; c__MBGB; o__; f__; g__; s__	1.26994989810661
k__Archaea; p__Crenarchaeota; c__MCG; o__; f__; g__; s__	1.09364788395531
k__Archaea; p__Crenarchaeota; c__MCG; o__B10; f__; g__; s__	1.0936478839553
k__Archaea; p__Crenarchaeota; c__MCG; o__pGrfC26; f__; g__; s__	1.0936478839553
k__Archaea; p__Crenarchaeota; c__MHVG; o__; f__; g__; s__	1.28664515202218
k__Archaea; p__Crenarchaeota; c__THSCG; o__; f__; g__; s__	1.07945294985496
k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__AK31; f__; g__; s__	1.0555344400314
k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Cenarchaeales; f__; g__; s__	1.02428245523826
k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Cenarchaeales; f__Cenarchaeaceae; g__; s__	1.00533102906922
k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Cenarchaeales; f__Cenarchaeaceae; g__Cenarchaeum; s__	1.00405712760382
k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Cenarchaeales; f__Cenarchaeaceae; g__Cenarchaeum; s__symbiosum	1
k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Cenarchaeales; f__Cenarchaeaceae; g__Nitrosopumilus; s__	1
k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Cenarchaeales; f__Cenarchaeaceae; g__Nitrosopumilus; s__pIVWA5	1.00425871332496
k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Cenarchaeales; f__SAGMA-X; g__; s__	1.02510435065281
k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__D-F10; f__; g__; s__	1.06192341826833
k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrosocaldales; f__Nitrosocaldaceae; g__Candidatus Nitrosocaldus; s__	1.06709519293012
k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae; g__; s__	1.04074836576506
k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Candidatus Nitrososphaera; s__	1.04074836576506
k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Candidatus Nitrososphaera; s__SCA1145	1.04074836576506
k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Candidatus Nitrososphaera; s__SCA1170	1.04074836576506
k__Archaea; p__Crenarchaeota; c__Thaumarchaeota; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Candidatus Nitrososphaera; s__gargensis	1.04074836576506
k__Archaea; p__Crenarchaeota; c__Thermoprotei; o__; f__; g__; s__	1
k__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Desulfurococcales; f__; g__; s__	1.00455089818337
k__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Desulfurococcales; f__Desulfurococcaceae; g__; s__	1
k__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Desulfurococcales; f__Desulfurococcaceae; g__Aeropyrum; s__	1
k__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Desulfurococcales; f__Desulfurococcaceae; g__Caldisphaera; s__	1
k__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Desulfurococcales; f__Desulfurococcaceae; g__Desulfurococcus; s__	1
k__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Desulfurococcales; f__Desulfurococcaceae; g__Ignicoccus; s__	1
k__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Desulfurococcales; f__Desulfurococcaceae; g__Staphylothermus; s__	1
k__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Desulfurococcales; f__Pyrodictiaceae; g__; s__	1
k__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Sulfolobales; f__Sulfolobaceae; g__; s__	1
k__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Sulfolobales; f__Sulfolobaceae; g__Acidianus; s__	1
k__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Sulfolobales; f__Sulfolobaceae; g__Metallosphaera; s__	1.00023233480184
k__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Sulfolobales; f__Sulfolobaceae; g__Metallosphaera; s__sedula	1
k__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Sulfolobales; f__Sulfolobaceae; g__Stygiolobus; s__	1.00039768194848
k__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Sulfolobales; f__Sulfolobaceae; g__Sulfolobus; s__	1.00198317091678
k__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Sulfolobales; f__Sulfolobaceae; g__Sulfolobus; s__metallicus	1.0016526375527
k__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Thermoproteales; f__Thermofilaceae; g__; s__	1
k__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Thermoproteales; f__Thermoproteaceae; g__; s__	1.0045742378205
k__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Thermoproteales; f__Thermoproteaceae; g__Pyrobaculum; s__	1
k__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Thermoproteales; f__Thermoproteaceae; g__Thermocladium; s__	1.00440854017513
k__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Thermoproteales; f__Thermoproteaceae; g__Vulcanisaeta; s__	1.00191298307256
k__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Thermoproteales; f__Thermoproteaceae; g__Vulcanisaeta; s__distributa	1
k__Archaea; p__Crenarchaeota; c__Thermoprotei; o__YNPFFA; f__; g__; s__	1.0830359304833
k__Archaea; p__Crenarchaeota; c__Thermoprotei; o__YNPFFA; f__A13; g__; s__	1.0830359304833
k__Archaea; p__Crenarchaeota; c__Thermoprotei; o__YNPFFA; f__SK322; g__; s__	1.0830359304833
k__Archaea; p__Crenarchaeota; c__pISA9; o__; f__; g__; s__	1.08090804054937
k__Archaea; p__Crenarchaeota; c__pOWA133; o__; f__; g__; s__	1.12134411678591
k__Archaea; p__Crenarchaeota; c__pSL4; o__; f__; g__; s__	1
k__Archaea; p__Crenarchaeota; c__pUWA2; o__; f__; g__; s__	1.08090804054937
k__Archaea; p__Euryarchaeota; c__; o__; f__; g__; s__	1.49924533971534
k__Archaea; p__Euryarchaeota; c__ANME-1; o__; f__; g__; s__	1.48054013676095
k__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__; s__	1.24957986728576
k__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__	1
k__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__fulgidus	1
k__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__veneficus	1
k__Archaea; p__Euryarchaeota; c__D-C06; o__; f__; g__; s__	1.47811993804298
k__Archaea; p__Euryarchaeota; c__DSEG; o__104A5; f__; g__; s__	1.50620822957893
k__Archaea; p__Euryarchaeota; c__DSEG; o__ArcA07; f__; g__; s__	1.50620822957893
k__Archaea; p__Euryarchaeota; c__DSEG; o__DHVE3; f__; g__; s__	1.50620822957893
k__Archaea; p__Euryarchaeota; c__DSEG; o__HydGC-84-221A; f__; g__; s__	1.50620822957893
k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__; g__; s__	1.57401606471196
k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__209ZB06; s__	2.16120568220046
k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__; s__	1.7741935483871
k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__ArcF12; s__	1.75900899137654
k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__GA41; s__	1.93615726679221
k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Haladaptatus; s__	2.24266415763768
k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Haladaptatus; s__paucihalophilus	2.5
k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Halalkalicoccus; s__	1
k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Haloarcula; s__	2.63461538461538
k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Halobacterium; s__	1.1555382324238
k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Halobacterium; s__salinarum	1
