ARGs abundance normalization aganist 16S	Subtype level results
	STAS	SWHAS104
aminoglycoside__aac(2')-I	0	0
aminoglycoside__aac(3)-I	0	0
aminoglycoside__aac(3)-II	0	0
aminoglycoside__aac(3)-IIIa	0	0
aminoglycoside__aac(3)-IV	0	0
aminoglycoside__aac(3)-IX	0	0
aminoglycoside__aac(3)-Ib-aac(6')-Ib	0	0
aminoglycoside__aac(3)-VI	0	0
aminoglycoside__aac(3)-VII	0	0
aminoglycoside__aac(3)-VIII	0	0
aminoglycoside__aac(3)-X	0	0
aminoglycoside__aac(6')-30-aac(6')-Ib'	0	0
aminoglycoside__aac(6')-31	0	0
aminoglycoside__aac(6')-I	0	0
aminoglycoside__aac(6')-II	0	0
aminoglycoside__aad(6)	0	0
aminoglycoside__aad(9)	0	0
aminoglycoside__aadA	0	0.066756501375085
aminoglycoside__aadB	0	0
aminoglycoside__aadD	0	0
aminoglycoside__aadE	0	0
aminoglycoside__aadK	0	0
aminoglycoside__ant(2'')-I	0	0
aminoglycoside__ant(3'')-Ih-aac(6')-IId	0	0
aminoglycoside__ant(4')-IIa	0	0
aminoglycoside__ant(4')-Ia	0	0
aminoglycoside__ant(9)-I	0	0
aminoglycoside__aph(2'')-II	0	0
aminoglycoside__aph(2'')-III	0	0
aminoglycoside__aph(2'')-IV	0	0
aminoglycoside__aph(2'')-Ie	0	0
aminoglycoside__aph(3''')-III	0	0
aminoglycoside__aph(3'')-I	0	0
aminoglycoside__aph(3'')-IV	0	0
aminoglycoside__aph(3')-I	0	0
aminoglycoside__aph(3')-IIb	0	0
aminoglycoside__aph(3')-V	0	0
aminoglycoside__aph(3')-VII	0	0
aminoglycoside__aph(4)-I	0	0
aminoglycoside__aph(6)-I	0	0
aminoglycoside__bifunctional aminoglycoside N-acetyltransferase and aminoglycoside phosphotransferase	0	0
aminoglycoside__rmtA	0	0
aminoglycoside__rmtB	0	0
aminoglycoside__rmtC	0	0
aminoglycoside__rmtD	0	0
aminoglycoside__rmtF	0	0
aminoglycoside__rmtG	0	0
aminoglycoside__streptomycin resistance protein	0	0
aminoglycoside__streptothricin acetyltransferase	0	0
aminoglycoside__tunicamycin resistance protein	0	0
aminoglycoside__viomycin phosphotransferase	0	0
bacitracin__bacA	0.014620568178558	0.0160850874166091
bacitracin__bcrA	0	0
bacitracin__bcrC	0	0
beta-lactam__ACT-1	0	0
beta-lactam__ACT-13	0	0
beta-lactam__ACT-14	0	0
beta-lactam__ACT-16	0	0
beta-lactam__ACT-19	0	0
beta-lactam__ACT-2	0	0
beta-lactam__ACT-20	0	0
beta-lactam__ACT-21	0	0
beta-lactam__ACT-23	0	0
beta-lactam__ACT-5	0	0
beta-lactam__AER-1	0	0
beta-lactam__BEL-2	0	0
beta-lactam__BEL-3	0	0
beta-lactam__CARB-12	0	0
beta-lactam__CARB-3	0	0
beta-lactam__CARB-5	0	0
beta-lactam__CARB-6	0	0
beta-lactam__CARB-7	0	0
beta-lactam__CARB-8	0	0
beta-lactam__CARB-9	0	0
beta-lactam__CAZ-2	0	0
beta-lactam__CAZ-6	0	0
beta-lactam__CAZ-7	0	0
beta-lactam__CFE-1	0	0
beta-lactam__CGB-1	0	0
beta-lactam__CMY-1	0	0
beta-lactam__CMY-10	0	0
beta-lactam__CMY-100	0	0
beta-lactam__CMY-102	0	0
beta-lactam__CMY-103	0	0
beta-lactam__CMY-11	0	0
beta-lactam__CMY-111	0	0
beta-lactam__CMY-13	0	0
beta-lactam__CMY-16	0	0
beta-lactam__CMY-18	0	0
beta-lactam__CMY-19	0	0
beta-lactam__CMY-2	0	0
beta-lactam__CMY-21	0	0
beta-lactam__CMY-22	0	0
beta-lactam__CMY-23	0	0
beta-lactam__CMY-25	0	0
beta-lactam__CMY-26	0	0
beta-lactam__CMY-29	0	0
beta-lactam__CMY-30	0	0
beta-lactam__CMY-31	0	0
beta-lactam__CMY-32	0	0
beta-lactam__CMY-33	0	0
beta-lactam__CMY-37	0	0
beta-lactam__CMY-39	0	0
beta-lactam__CMY-4	0	0
beta-lactam__CMY-40	0	0
beta-lactam__CMY-41	0	0
beta-lactam__CMY-43	0	0
beta-lactam__CMY-44	0	0
beta-lactam__CMY-51	0	0
beta-lactam__CMY-54	0	0
beta-lactam__CMY-55	0	0
beta-lactam__CMY-56	0	0
beta-lactam__CMY-6	0	0
beta-lactam__CMY-60	0	0
beta-lactam__CMY-61	0	0
beta-lactam__CMY-62	0	0
beta-lactam__CMY-64	0	0
beta-lactam__CMY-65	0	0
beta-lactam__CMY-69	0	0
beta-lactam__CMY-73	0	0
beta-lactam__CMY-74	0	0
beta-lactam__CMY-78	0	0
beta-lactam__CMY-79	0	0
beta-lactam__CMY-80	0	0
beta-lactam__CMY-87	0	0
beta-lactam__CMY-9	0	0
beta-lactam__CMY-98	0	0
beta-lactam__CMY-99	0	0
beta-lactam__CTX-M	0	0
beta-lactam__CTX-M-1	0	0
beta-lactam__CTX-M-10	0	0
beta-lactam__CTX-M-101	0	0
beta-lactam__CTX-M-102	0	0
beta-lactam__CTX-M-103	0	0
beta-lactam__CTX-M-105	0	0
beta-lactam__CTX-M-106	0	0
beta-lactam__CTX-M-110	0	0
beta-lactam__CTX-M-111	0	0
beta-lactam__CTX-M-112	0	0
beta-lactam__CTX-M-113	0	0
beta-lactam__CTX-M-114	0	0
beta-lactam__CTX-M-12	0	0
beta-lactam__CTX-M-121	0	0
beta-lactam__CTX-M-122	0	0
beta-lactam__CTX-M-125	0	0
beta-lactam__CTX-M-126	0	0
beta-lactam__CTX-M-129	0	0
beta-lactam__CTX-M-130	0	0
beta-lactam__CTX-M-131	0	0
beta-lactam__CTX-M-132	0	0
beta-lactam__CTX-M-134	0	0
beta-lactam__CTX-M-137	0	0
beta-lactam__CTX-M-14	0	0
beta-lactam__CTX-M-141	0	0
beta-lactam__CTX-M-142	0	0
beta-lactam__CTX-M-147	0	0
beta-lactam__CTX-M-15	0	0
beta-lactam__CTX-M-152	0	0
beta-lactam__CTX-M-16	0	0
beta-lactam__CTX-M-17	0	0
beta-lactam__CTX-M-19	0	0
beta-lactam__CTX-M-2	0	0
beta-lactam__CTX-M-20	0	0
beta-lactam__CTX-M-22	0	0
beta-lactam__CTX-M-24	0	0
beta-lactam__CTX-M-25	0	0
beta-lactam__CTX-M-26	0	0
beta-lactam__CTX-M-28	0	0
beta-lactam__CTX-M-29	0	0
beta-lactam__CTX-M-31	0	0
beta-lactam__CTX-M-32	0	0
beta-lactam__CTX-M-34	0	0
beta-lactam__CTX-M-35	0	0
beta-lactam__CTX-M-36	0	0
beta-lactam__CTX-M-37	0	0
beta-lactam__CTX-M-38	0	0
beta-lactam__CTX-M-4	0	0
beta-lactam__CTX-M-40	0	0
beta-lactam__CTX-M-41	0	0
beta-lactam__CTX-M-42	0	0
beta-lactam__CTX-M-43	0	0
beta-lactam__CTX-M-5	0	0
beta-lactam__CTX-M-51	0	0
beta-lactam__CTX-M-52	0	0
beta-lactam__CTX-M-53	0	0
beta-lactam__CTX-M-54	0	0
beta-lactam__CTX-M-55	0	0
beta-lactam__CTX-M-56	0	0
beta-lactam__CTX-M-58	0	0
beta-lactam__CTX-M-59	0	0
beta-lactam__CTX-M-60	0	0
beta-lactam__CTX-M-61	0	0
beta-lactam__CTX-M-62	0	0
beta-lactam__CTX-M-63	0	0
