	STAS	SWHAS104	22_MC_Drinkingwater_source_90.100	23_MC_Drinkingwater_tap_90.100	49_Drinkingwater_influent_winter_90.100	50_Drinkingwater_effluent_winter_90.100	51_Drinkingwater_influent_summer_90.100	52_Drinkingwater_influent_summer_90.100	53_Drinkingwater_effluent_summer_90.100	30_ST_effluent_summer_90.100	31_ST_effluent_winter_90.100	32_ST_influent_summer_90.100	33_ST_influent_winter_90.100	13_ST_ADS_90.100	14_SWT_ADS_90.100	1_ST_AS_0707_90.100	2_ST_AS_0801_90.100	37_ST_AS_foaming_90.100	38_ST_AS_foaming_control_90.100	4_ST_AS_0901_90.100	54_Stanley_AS_90.100	55_Stanley_AS_90.100	56_ST_ADS_March_90.100	57_SWH_ADS_March_90.100	58_SWH_ADS_March_90.100	5_ST_AS_0907_90.100	6_ST_AS_1001_90.100	7_ST_AS_1007_90.100	8_ST_AS_1101_90.100	24_Sediment_fishpond_LWT_90.100	25_Sediment_fishpond_ST_90.100	26_Sediment_fishpond_YTT_90.100	ARG_72_90.100	ARG_73_90.10	ARG_74_90.100	ARG_75_90.100	ARG_76_90.100	ARG_77_90.100	ARG_78_90.100	ARG_79_90.100	ARG_80_90.100	ARG_81_90.100	ARG_82_90.100	ARG_83_90.100	Ocean_1_1_90-100	Ocean_1_2_90-100	Ocean_1_3_90-100
aminoglycoside__aac(2')-I	0	0	0.001177016	0	0.003172283	0.008306062	0	0	0	0	0.002065785	0.00050324	0	0.000265991	0.002291322	0.000233886	0.000969951	0.000213897	0.000483299	0.000182597	0.000181026	0.0001645	0.000395441	0.001244934	0.001330666	0.000306169	0.000197256	0.000293794	0.000257002	0	0	0.000144107	0	0	0	0	0	0	0	0.000118761	0	0	0.000154053	8.69E-05	0	0	0
aminoglycoside__aac(3)-I	0	0	0	0	0	4.06E-05	8.13E-05	0.000106594	0	0.000316524	0.000113497	0.00092398	0.001614629	0.000460117	0	0.000377796	0.000628322	0	0.001100942	0.000477832	0.000528273	0.000324475	5.87E-05	0	0	7.43E-05	0.000692756	0.00036697	0.000104097	0	0	0	0	0	0	0	0	0	9.11E-05	0	0	0	0	0	0	0	0
aminoglycoside__aac(3)-II	0	0	0	0	0	0	0	0	0	0.000227898	0	0.001396649	0.002646952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.05E-05	0	0	0	0.00121344	0.005386936	0.001673441	0	0	0	0.005133283	0.000332317	0.00105489	0.001120374	0.028539404	0.028315511	0	0	0
aminoglycoside__aac(3)-IIIa	0	0	0	0.003711998	0	8.75E-05	0	0	0.000287375	0	0	0	0.000123285	0	0	0	0	0	0	0	6.94E-05	8.51E-05	0	0	0	0	0	0	0	0	0	5.32E-05	0	0	0	3.81E-05	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(3)-IV	0	0	0	0	0	0	0	0	0	0	7.13E-05	0.000116504	0	0	0.000172848	4.40E-05	2.13E-05	0	0.000648102	0	0	0	0	0	0	8.80E-05	4.25E-05	0.000217525	0.000167638	0	6.30E-05	0	0.00102943	0.000756303	0.000147255	0	0	0	0.004665681	5.50E-05	0.000698185	0.00060824	0.002391226	0.001124877	0	0	0
aminoglycoside__aac(3)-IX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.87E-05	0	0	0	3.25E-05	0	0	0	0
aminoglycoside__aac(3)-Ib-aac(6')-Ib	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000289575	0.00017583	2.75E-05	5.82E-05	0.000109467	0.000185219	0	0	0
aminoglycoside__aac(3)-VI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(3)-VII	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.19E-05	0	6.35E-05	0	0	0.00E+00	0
aminoglycoside__aac(3)-VIII	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.63E-05	0	0	0	0	0	0	0	0
aminoglycoside__aac(3)-X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(6')-30-aac(6')-Ib'	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88E-05	0	0	0	0	0	3.18E-05	0	0	0	0	0	0	0	0	0	0	0	0	9.15E-05	0	0	0	0.000172009	8.95E-05	2.80E-05	2.97E-05	2.79E-05	4.72E-05	0	0	0
aminoglycoside__aac(6')-31	0	0	0	0	0	0	0	0	0	0	0	0	0.000164156	0	0	0	0	0	0	0	4.62E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000306624	0.000478754	0	0	0.003030269	0.002689703	0	0	0
aminoglycoside__aac(6')-I	0	0	0	0	0.000330105	0	4.40E-05	0.000152185	0	0.000329902	0.000302431	0.007216822	0.008584424	0.000260644	0.000288439	0.000102397	2.95E-05	0	0	0.00011944	9.78E-05	5.24E-05	0	0.000468301	0.000379659	0.000161057	0.000126922	0	0	0	5.62E-05	7.09E-05	0.013211345	0.005499322	0.004000405	0.001655654	0.001909757	0.002180765	0.03719491	0.01663441	0.001802808	0.003600703	0.013821282	0.015550054	0	0	0
aminoglycoside__aac(6')-II	0	0	0	0	0	0	7.31E-05	5.10E-05	0	0.000230648	0	0.00067623	0.002100263	0	0	0.000168255	0	0	0.000743723	5.85E-05	9.34E-05	5.67E-05	0	0.000160177	0.000174614	0.000168235	0.000130067	3.33E-05	3.21E-05	0	0	0	0.000701077	0.000201129	5.44E-05	0	0	0	0.017509378	0.008487346	0.001354861	0.001965207	0.142574375	0.161637076	0	0	0
aminoglycoside__aad(6)	0	0	0	0	0	0	0	0	0	0	3.62E-05	0.00045082	0.001422689	9.40E-05	0.000175353	0	0	0.000302246	0	5.99E-05	0	0	3.36E-05	0.000453835	0.000206119	0	4.31E-05	0	6.38E-05	0	0	0	0.008880313	0.007844042	0.006451883	0.007738683	0.007628314	0.008708867	0.013024237	0.001223483	0.004127325	0.004968472	0.002881239	0.002297454	0	0	0
aminoglycoside__aad(9)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000672402	0.000321655	0.000115431	0	0	0	0.010822434	8.47E-05	0.001485379	0.000935146	0.001588211	0.001251493	0	0	0
aminoglycoside__aadA	0	0.146946788025236	0.000235511	0	0.001281606	5.43E-05	4.71E-05	3.12E-05	0	0.018741271	0.005798282	0.059281295	0.067413005	0.00303653	0.002978818	0.005134393	0.00492315	0.008714465	0.004495215	0.004376787	0.001296691	0.00124784	0.001599232	0.00287191	0.002945245	0.003151793	0.00368889	0.001495105	0.001382941	0	8.07E-05	0	0.020402923	0.02297445	0.02522258	0.001768979	0.000868726	0.001416232	0.107880506	0.085714465	0.011265627	0.014314944	0.225455763	0.225220032	0	0	0.001060161
aminoglycoside__aadB	0	0	0	0	0	0	0	0	0	0	0	0.000175743	0.000170648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000261354	5.65E-05	0	0	0	0.001730361	0.000331792	0.000155706	0.000164839	0.009501971	0.01022315	0	0	0
aminoglycoside__aadD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003693944	0.001670599	0.000700508	4.02E-05	0.000143126	0	0.041974627	0.000778958	0.002224669	0.002200593	0.002761469	0.001326143	0	0	0
aminoglycoside__aadE	0	0	0	0	0	0	0	0	0	0.000393425	0.000296156	0.014799606	0.035050285	0.000292429	0.002539168	0.000146699	0.000417362	0.000320818	0.001119718	0.00063242	5.96E-05	0	0.000599913	0.004581991	0.004234868	5.20E-05	0.00057342	0.000250909	0.00092011	0	0	0	0.150509463	0.164878027	0.105899879	0.147446222	0.13991171	0.150138571	0.156678458	0.013737947	0.139622712	0.104412383	0.031788979	0.027444526	0	0	0
aminoglycoside__aadK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.17E-05	0	0	0	0	0	0	0	0	2.86E-05	0	0	0	0	0	0	0	0.000158637	0.000161184	0.000209512	0.000129993	7.97E-05	0.000140539	8.51E-05	2.58E-05	0	6.85E-05	9.66E-05	0.000108914	0	0	0
aminoglycoside__ant(2'')-I	0	0	0	0	0.000158482	0	0	4.36E-05	0	0.000541989	4.65E-05	0.001292558	0.001040046	0	0.0002194	0.00011457	0.00010364	0	0	7.34E-05	3.95E-05	0	3.73E-05	6.85E-05	0	6.22E-05	2.77E-05	0	5.09E-05	0	0	0	0.000712079	0.000616951	0.000585113	0	0	0	0.006765451	0.001672516	0.001517408	0.001790542	0.127453291	0.150767795	0	0	0
aminoglycoside__ant(3'')-Ih-aac(6')-IId	0	0	0	0	0	0	0	0	0	0	0	0.000335924	0	0	0	0	0	0	0	0	0	4.50E-05	0	3.18E-05	3.51E-05	0	0	0	0	0	0	0	1.64E-05	0	0	0	0	0	0.000208894	7.93E-05	1.98E-05	0	0.000651481	0.000567858	0	0	0
aminoglycoside__ant(4')-IIa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
