	STAS	SWHAS104	22_MC_Drinkingwater_source_90-100	23_MC_Drinkingwater_tap_90-100	49_Drinkingwater_influent_winter_90-100	50_Drinkingwater_effluent_winter_90-100	51_Drinkingwater_influent_summer_90-100	52_Drinkingwater_influent_summer_90-100	53_Drinkingwater_effluent_summer_90-100	30_ST_effluent_summer_90-100	31_ST_effluent_winter_90-100	32_ST_influent_summer_90-100	33_ST_influent_winter_90-100	13_ST_ADS_90-100	14_SWT_ADS_90-100	1_ST_AS_0707_90-100	2_ST_AS_0801_90-100	37_ST_AS_foaming_90-100	38_ST_AS_foaming_control_90-100	4_ST_AS_0901_90-100	54_Stanley_AS_90-100	55_Stanley_AS_90-100	56_ST_ADS_March_90-100	57_SWH_ADS_March_90-100	58_SWH_ADS_March_90-100	5_ST_AS_0907_90-100	6_ST_AS_1001_90-100	7_ST_AS_1007_90-100	8_ST_AS_1101_90-100	24_Sediment_fishpond_LWT_90-100	25_Sediment_fishpond_ST_90-100	26_Sediment_fishpond_YTT_90-100	ARG_72_90-100	ARG_73_90-10	ARG_74_90-100	ARG_75_90-100	ARG_76_90-100	ARG_77_90-100	ARG_78_90-100	ARG_79_90-100	ARG_80_90-100	ARG_81_90-100	ARG_82_90-100	ARG_83_90-100	Ocean_1_1_90-100	Ocean_1_2_90-100	Ocean_1_3_90-100
aminoglycoside__aac(2')-I	0	0	0	0	0.001265046	0.014606116	0	0	0	0	0.000571854	0.000123886	0	0	0.003615039	0	0	0	0	0	0	0	0.000563504	0.001376892	0.001512254	0	0	0	0.000259074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(3)-I	0	0	0	0	0	0	0.000334431	0.000389691	0	0.000145191	0.00029405	0.000254811	0.000566122	0.002052904	0	0.000311625	0.0013269	0	0.000380399	0.000938579	0	0	0	0	0	0	0.000725115	0.00027565	0	0	0	0	0	0	0	0	0	0	0.000119408	0	0	0	0	0	0	0	0
aminoglycoside__aac(3)-II	0	0	0	0	0	0	0	0	0	0.00053609	0	0.001097647	0.001604394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002707328	0.010212786	0.003677394	0	0	0	0.006835712	0.000946546	0.000975139	0.001014035	0.032813236	0.033579986	0	0	0
aminoglycoside__aac(3)-IIIa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000661188	0.000783498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(3)-IV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002293816	0.001360538	0.000230841	0	0	0	0.005855436	0.000173874	0.000653161	0.000510473	0.002781228	0.001407483	0	0	0
aminoglycoside__aac(3)-IX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(3)-Ib-aac(6')-Ib	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000379676	0.000540344	2.69E-05	4.82E-05	0.000128153	0.000218663	0	0	0
aminoglycoside__aac(3)-VI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(3)-VII	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(3)-VIII	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(3)-X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(6')-30-aac(6')-Ib'	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000150112	0	0	0	0	0	0.000292618	0	0	0	0	0	0	0	0	0	0	0	0	0.00012826	0	0	0	0.000161092	0.000206336	2.74E-05	0	3.26E-05	5.57E-05	0	0	0
aminoglycoside__aac(6')-31	0	0	0	0	0	0	0	0	0	0	0	0	9.98E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000344597	0.001103447	0	0	0.003024134	0.00317536	0	0	0
