	STAS	SWHAS104
aminoglycoside	0.159071882533421	0.243388204985163
bacitracin	0.279892325631254	0.301169984543264
beta-lactam	0.0486259746146439	0.600590151231032
bleomycin	0	0
carbomycin	0	0.043557168784029
chloramphenicol	0	0.0761904761904762
fosfomycin	0	0
fosmidomycin	0.0226095743337123	0
fusaric acid	0	0
fusidic acid	0	0
kasugamycin	0.0337481146304676	0
macrolide-lincosamide-streptogramin	0.719137957635712	1.22104128872906
multidrug	0.570477998710622	0.409042722829622
polymyxin	0	0.0121212121212121
puromycin	0	0
quinolone	1.28051218814701	0.826074276496784
rifamycin	0.574718286826898	0.412577893661611
spectinomycin	0	0
sulfonamide	0.131644252637111	0.137205153748985
tetracenomycin_C	0	0
tetracycline	0.162735250429665	0.190506277409878
trimethoprim	0.0501611321283452	0.0473372781065089
unclassified	0.294377838355903	0.0502130449033104
vancomycin	0.146486304596541	0.0346320346320346
