	STAS	SWHAS104
aminoglycoside	0.0051450894791574	0.0126534066593606
bacitracin	0.00905295792673922	0.0156573992081974
beta-lactam	0.00157277946560427	0.0312238278744708
bleomycin	0	0
carbomycin	0	0.00226447526324591
chloramphenicol	0	0.00396103450809047
fosfomycin	0	0
fosmidomycin	0.000731293809942619	0
fusaric acid	0	0
fusidic acid	0	0
kasugamycin	0.0010915635545467	0
macrolide-lincosamide-streptogramin	0.0232601078265159	0.0634802001810253
multidrug	0.0184517860888464	0.0212655494678999
polymyxin	0	0.000630164580832575
puromycin	0	0
quinolone	0.0414174377158312	0.0429464268902764
rifamycin	0.0185889357939243	0.0214493379721546
spectinomycin	0	0
sulfonamide	0.00425795840501501	0.0071331008265246
tetracenomycin_C	0	0
tetracycline	0.00526357902816547	0.00990415044712255
trimethoprim	0.00162243326140275	0.00246099777129881
unclassified	0.00952148358905499	0.0026105047974903
vancomycin	0.00473801612589805	0.00180047023095021
