ARGs abundance normalization aganist 16S	STAS	SWHAS104	22_MC_Drinkingwater_source_90.100	23_MC_Drinkingwater_tap_90.100	49_Drinkingwater_influent_winter_90.100	50_Drinkingwater_effluent_winter_90.100	51_Drinkingwater_influent_summer_90.100	52_Drinkingwater_influent_summer_90.100	53_Drinkingwater_effluent_summer_90.100	30_ST_effluent_summer_90.100	31_ST_effluent_winter_90.100	32_ST_influent_summer_90.100	33_ST_influent_winter_90.100	13_ST_ADS_90.100	14_SWT_ADS_90.100	1_ST_AS_0707_90.100	2_ST_AS_0801_90.100	37_ST_AS_foaming_90.100	38_ST_AS_foaming_control_90.100	4_ST_AS_0901_90.100	54_Stanley_AS_90.100	55_Stanley_AS_90.100	56_ST_ADS_March_90.100	57_SWH_ADS_March_90.100	58_SWH_ADS_March_90.100	5_ST_AS_0907_90.100	6_ST_AS_1001_90.100	7_ST_AS_1007_90.100	8_ST_AS_1101_90.100	24_Sediment_fishpond_LWT_90.100	25_Sediment_fishpond_ST_90.100	26_Sediment_fishpond_YTT_90.100	ARG_72_90.100	ARG_73_90.10	ARG_74_90.100	ARG_75_90.100	ARG_76_90.100	ARG_77_90.100	ARG_78_90.100	ARG_79_90.100	ARG_80_90.100	ARG_81_90.100	ARG_82_90.100	ARG_83_90.100	Ocean_1_1_90-100	Ocean_1_2_90-100	Ocean_1_3_90-100
aminoglycoside__aac(2')-I	0	0	0.003261035	0	0.002229429	0.033765644	0	0	0	0	0.004255809	0.000140134	0	0.000649675	0.005291042	0.00074901	0.003028222	0.000125309	0.000285184	0.000503503	0.000756528	0.000661837	0.0008941	0.002608976	0.002721463	0.000897141	0.000526555	0.000946587	0.000828917	0	0	0.000593921	0	0	0	0	0	0	0	0.000145171	0	0	6.95E-05	3.95E-05	0	0	0
aminoglycoside__aac(3)-I	0	0	0	0	0	0.000165026	0.000281925	0.000308737	0	0.000298837	0.00023382	0.000257295	0.000375643	0.001123823	0	0.001209876	0.001961645	0	0.000649641	0.001317598	0.002207708	0.001305469	0.000132799	0	0	0.000217592	0.001849238	0.001182354	0.000335747	0	0	0	0	0	0	0	0	0	4.61E-05	0	0	0	0	0	0	0.00078182	0
aminoglycoside__aac(3)-II	0	0	0	0	0	0	0	0	0	0.000215163	0	0.000388917	0.000615812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.62E-05	0	0	0	0.001075514	0.004103288	0.001376211	0	0	0	0.002597882	0.00040622	0.000407631	0.000364477	0.012882339	0.012876808	0	0	0
aminoglycoside__aac(3)-IIIa	0	0	0	0.016583267	0	0.000355648	0	0	0.001124918	0	0	0	2.87E-05	0	0	0	0	0	0	0	0.000289857	0.000342352	0	0	0	0	0	0	0	0	0	0.000219387	0	0	0	2.50E-05	0	0	0	0	0	0	0	0	0	0.000533335	0.000703723
aminoglycoside__aac(3)-IV	0	0	0	0	0	0	0	0	0	0	0.000146972	3.24E-05	0	0	0.000399135	0.000140865	6.66E-05	0	0.00038243	0	0	0	0	0	0	0.00025775	0.00011346	0.000700852	0.000540688	0	0.00025817	0	0.000912419	0.000576084	0.000121101	0	0	0	0.002361235	6.72E-05	0.000269793	0.000197871	0.00107937	0.000511551	0	0	0
aminoglycoside__aac(3)-IX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45E-05	0	0	0	1.47E-05	0	0	0	0
aminoglycoside__aac(3)-Ib-aac(6')-Ib	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00014655	0.000214932	1.06E-05	1.89E-05	4.94E-05	8.42E-05	0	0	0
aminoglycoside__aac(3)-VI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(3)-VII	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.23E-05	0	2.87E-05	0	0	0	0
aminoglycoside__aac(3)-VIII	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.85E-05	0	0	0	0	0	0	0	0
aminoglycoside__aac(3)-X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(6')-30-aac(6')-Ib'	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.01E-05	0	0	0	0	0	0.00012786	0	0	0	0	0	0	0	0	0	0	0	0	7.52E-05	0	0	0	8.71E-05	0.000109432	1.08E-05	9.65E-06	1.26E-05	2.14E-05	0	0	0
aminoglycoside__aac(6')-31	0	0	0	0	0	0	0	0	0	0	0	0	3.82E-05	0	0	0	0	0	0	0	0.000192976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000155178	0.000585222	0	0	0.001367826	0.001223174	0	0	0
aminoglycoside__aac(6')-I	0	0	0	0	0.000231993	0	0.000152384	0.000440787	0	0.000311468	0.000623052	0.002009627	0.001997161	0.000636616	0.000666053	0.000327921	9.20E-05	0	0	0.000329351	0.00040873	0.000210744	0	0.000981406	0.000776473	0.000471932	0.000338806	0	0	0	0.000230215	0.000292119	0.01170967	0.004188894	0.003289869	0.001085641	0.001239754	0.001487882	0.018823819	0.020333642	0.000696642	0.001171371	0.006238758	0.007071568	0	0	0
aminoglycoside__aac(6')-II	0	0	0	0	0	0	0.000253422	0.000147657	0	0.00021776	0	0.000188306	0.000488625	0	0	0.000538828	0	0	0.000438854	0.000161248	0.00039024	0.000227925	0	0.000335679	0.000357118	0.000492964	0.0003472	0.000107234	0.00010341	0	0	0	0.000621389	0.000153202	4.47E-05	0	0	0	0.008861249	0.010374798	0.000523546	0.000639316	0.064356335	0.073506342	0	0	0
aminoglycoside__aad(6)	0	0	0	0	0	0	0	0	0	0	7.46E-05	0.000125537	0.000330988	0.000229505	0.00040492	0	0	0.000177067	0	0.000165098	0	0	7.60E-05	0.000951089	0.000421553	0	0.000115104	0	0.000205696	0	0	0	0.007870927	0.005974893	0.005305926	0.005074389	0.00495206	0.005941843	0.006591382	0.001495567	0.001594883	0.00161633	0.001300556	0.001044794	0	0	0
aminoglycoside__aad(9)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000595973	0.000245008	9.49E-05	0	0	0	0.005477081	0.000103539	0.000573981	0.000304219	0.000716899	0.000569131	0	0	0
aminoglycoside__aadA	0	0.0172658075069403	0.000652507	0	0.000900692	0.000220872	0.000163138	9.03E-05	0	0.017694038	0.01194528	0.016507719	0.015683598	0.007416642	0.006878584	0.016442677	0.015370251	0.005105247	0.002652523	0.012068768	0.005419004	0.005020473	0.003615894	0.006018587	0.006023581	0.009235415	0.0098471	0.004817132	0.00446045	0	0.000331002	0	0.018083813	0.017499891	0.020742647	0.00115995	0.000563949	0.00096626	0.054596801	0.104776014	0.00435327	0.004656898	0.101767983	0.102421432	0	0	0.002172906
aminoglycoside__aadB	0	0	0	0	0	0	0	0	0	0	0	4.89E-05	3.97E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000199077	4.65E-05	0	0	0	0.000875711	0.000405577	6.02E-05	5.36E-05	0.004289074	0.004649096	0	0	0
aminoglycoside__aadD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00327407	0.001272514	0.000576087	2.64E-05	9.29E-05	0	0.021242766	0.000952186	0.000859658	0.000715891	0.001246493	0.000603079	0	0	0.000831403
